City1,City2,Distance
"Atlanta, GA","San Francisco, CA",2139.0
"Atlanta, GA","Bozeman, MT",1640.0
"Austin, TX","New York, NY",1521.0
"Atlanta, GA","Phoenix, AZ",1587.0
"Minneapolis, MN","Spokane, WA",1175.0
"Kahului, HI","Salt Lake City, UT",2935.0
"Boston, MA","Salt Lake City, UT",2105.0
"Los Angeles, CA","Nashville, TN",1797.0
"Salt Lake City, UT","Tampa, FL",1888.0
"Orlando, FL","Seattle, WA",2554.0
"Houston, TX","Los Angeles, CA",1390.0
"Minneapolis, MN","Santa Ana, CA",1522.0
"Detroit, MI","Portland, OR",1953.0
"Boston, MA","Minneapolis, MN",1124.0
"Raleigh/Durham, NC","Seattle, WA",2354.0
"Atlanta, GA","Santa Ana, CA",1919.0
"Los Angeles, CA","Salt Lake City, UT",590.0
"Los Angeles, CA","Memphis, TN",1619.0
"Los Angeles, CA","Orlando, FL",2218.0
"Miami, FL","Salt Lake City, UT",2088.0
"Orlando, FL","Salt Lake City, UT",1931.0
"Los Angeles, CA","San Antonio, TX",1211.0
"Boston, MA","Detroit, MI",632.0
"Detroit, MI","Phoenix, AZ",1671.0
"Atlanta, GA","Portland, OR",2172.0
"Albuquerque, NM","Atlanta, GA",1269.0
"Minneapolis, MN","San Francisco, CA",1589.0
"Cincinnati, OH","Las Vegas, NV",1678.0
"Minneapolis, MN","Portland, OR",1426.0
"Dallas/Fort Worth, TX","Los Angeles, CA",1235.0
"Atlanta, GA","Tucson, AZ",1541.0
"Los Angeles, CA","Tampa, FL",2158.0
"Atlanta, GA","Ontario, CA",1900.0
"Austin, TX","Seattle, WA",1770.0
"Fort Lauderdale, FL","Los Angeles, CA",2343.0
"Nashville, TN","Salt Lake City, UT",1404.0
"Minneapolis, MN","Seattle, WA",1399.0
"Salt Lake City, UT","Washington, DC",1828.0
"Atlanta, GA","El Paso, TX",1282.0
"Los Angeles, CA","Raleigh/Durham, NC",2239.0
"Detroit, MI","New York, NY",509.0
"Atlanta, GA","Sacramento, CA",2092.0
"Atlanta, GA","Jackson, WY",1572.0
"Salt Lake City, UT","Seattle, WA",689.0
"New York, NY","Phoenix, AZ",2149.0
"Cincinnati, OH","Salt Lake City, UT",1450.0
"Boston, MA","Las Vegas, NV",2381.0
"Cincinnati, OH","Denver, CO",1069.0
"Atlanta, GA","Boise, ID",1838.0
"Las Vegas, NV","Raleigh/Durham, NC",2026.0
"Chicago, IL","Seattle, WA",1733.0
"Minneapolis, MN","Sacramento, CA",1517.0
"Philadelphia, PA","Salt Lake City, UT",1927.0
"Minneapolis, MN","Salt Lake City, UT",991.0
"Cincinnati, OH","Los Angeles, CA",1900.0
"Cincinnati, OH","Seattle, WA",1965.0
"Fort Lauderdale, FL","Salt Lake City, UT",2084.0
"Detroit, MI","San Diego, CA",1956.0
"Atlanta, GA","Spokane, WA",1969.0
"Indianapolis, IN","Los Angeles, CA",1814.0
"Raleigh/Durham, NC","Salt Lake City, UT",1823.0
"Newark, NJ","Salt Lake City, UT",1969.0
"Austin, TX","Los Angeles, CA",1242.0
"Seattle, WA","Tampa, FL",2520.0
"Nashville, TN","Seattle, WA",1978.0
